Date,Previous Close,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
31-Jul-2009,4571.45,4571.60,4669.75,4571.60,4636.45,300437149,10951.04
03-Aug-2009,4636.45,4633.80,4723.75,4617.75,4711.40,277002677,8717.22
04-Aug-2009,4711.40,4706.25,4731.45,4642.60,4680.50,322871852,10938.39
05-Aug-2009,4680.50,4680.95,4717.20,4629.85,4694.15,244640641,9312.86
06-Aug-2009,4694.15,4694.35,4718.15,4559.20,4585.50,278150681,10973.92
07-Aug-2009,4585.50,4591.90,4591.90,4463.95,4481.40,266871982,9772.77
10-Aug-2009,4481.40,4486.50,4562.50,4399.85,4437.65,284079082,10028.43
11-Aug-2009,4437.65,4435.00,4510.80,4398.90,4471.35,250129719,9082.78
12-Aug-2009,4471.35,4473.80,4473.80,4359.40,4457.50,274149382,9375.42
13-Aug-2009,4457.50,4458.55,4614.15,4458.55,4605.00,253540980,8883.22
14-Aug-2009,4605.00,4605.15,4619.00,4559.35,4580.05,222992686,8149.00
17-Aug-2009,4580.05,4578.80,4578.80,4374.60,4387.90,252330559,8387.98
18-Aug-2009,4387.90,4389.50,4491.45,4372.65,4458.90,265217123,8599.04
19-Aug-2009,4458.90,4457.75,4477.55,4353.45,4394.10,254668765,8296.66
20-Aug-2009,4394.10,4394.35,4492.80,4394.35,4453.45,166600981,5675.53
21-Aug-2009,4453.45,4453.45,4538.70,4400.90,4528.80,185694578,7403.77
24-Aug-2009,4528.80,4536.95,4656.30,4536.95,4642.80,207902560,7027.01
25-Aug-2009,4642.80,4641.65,4672.90,4582.50,4659.35,248995054,8299.73
26-Aug-2009,4659.35,4659.45,4697.80,4659.10,4680.85,208840330,7346.21
27-Aug-2009,4680.85,4679.00,4707.90,4645.15,4688.20,230998335,8572.49
28-Aug-2009,4688.20,4688.40,4743.75,4651.40,4732.35,285794817,8769.60
31-Aug-2009,4732.35,4730.85,4730.85,4635.00,4662.10,355947859,9366.93
01-Sep-2009,4662.10,4662.20,4735.90,4600.65,4625.35,332639046,9952.01
02-Sep-2009,4625.35,4624.00,4650.45,4576.60,4608.35,265745955,8466.96
03-Sep-2009,4608.35,4608.75,4647.35,4581.05,4593.55,245965172,7664.43
04-Sep-2009,4593.55,4608.70,4697.20,4580.35,4680.40,243559408,7885.25
07-Sep-2009,4680.40,4682.40,4790.00,4679.30,4782.90,243162111,8418.82
08-Sep-2009,4782.90,4782.85,4842.20,4782.65,4805.25,310692738,11901.18
09-Sep-2009,4805.25,4804.90,4825.05,4783.50,4814.25,239157623,9314.22
10-Sep-2009,4814.25,4814.35,4889.05,4807.90,4819.40,235712405,9264.17
11-Sep-2009,4819.40,4819.40,4856.15,4791.55,4829.55,236392562,8539.69
14-Sep-2009,4829.55,4830.35,4832.25,4786.25,4808.60,168557296,6265.34
15-Sep-2009,4808.60,4808.35,4899.45,4808.35,4892.10,215325851,7811.97
16-Sep-2009,4892.10,4894.65,4966.30,4894.65,4958.40,240095210,9361.60
17-Sep-2009,4958.40,4958.55,5003.05,4944.15,4965.55,270017278,12490.14
18-Sep-2009,4965.55,4963.95,4980.85,4931.90,4976.05,222101079,9124.75
22-Sep-2009,4976.05,4977.10,5036.30,4977.10,5020.20,189005727,7643.28
23-Sep-2009,5020.20,5019.95,5030.75,4957.05,4969.95,213349260,7733.22
24-Sep-2009,4969.95,4977.15,5016.70,4904.05,4986.55,266932031,11724.18
25-Sep-2009,4986.55,4985.10,4994.35,4931.25,4958.95,179960712,7401.44
29-Sep-2009,4958.95,4959.15,5020.25,4959.10,5006.85,174803950,7287.18
30-Sep-2009,5006.85,5007.65,5087.60,5004.35,5083.95,184790308,9175.80
01-Oct-2009,5083.95,5087.20,5110.50,5057.05,5083.40,224761213,10100.10
05-Oct-2009,5083.40,5076.05,5076.05,4991.95,5003.20,239335078,9807.70
06-Oct-2009,5003.20,5003.65,5034.70,4921.05,5027.40,367279763,12542.57
07-Oct-2009,5027.40,5031.70,5077.00,4972.95,4985.75,266221987,10939.13
08-Oct-2009,4985.75,5011.25,5043.05,4971.75,5002.25,294680002,12051.82
09-Oct-2009,5002.25,4993.00,5032.60,4934.55,4945.20,215439682,9481.39
12-Oct-2009,4945.20,4945.45,5068.05,4945.45,5054.25,187302253,8342.17
14-Oct-2009,5054.25,5054.35,5127.40,5054.35,5118.20,243364399,10025.05
15-Oct-2009,5118.20,5118.55,5152.25,5077.10,5108.85,258099954,9833.70
16-Oct-2009,5108.85,5108.65,5149.65,5093.20,5142.15,208175454,9471.33
17-Oct-2009,5142.15,5159.35,5176.80,5124.25,5141.80,41376778,1697.89
20-Oct-2009,5141.80,5145.60,5181.95,5102.65,5114.45,199616623,8313.74
21-Oct-2009,5114.45,5114.85,5117.45,5051.65,5063.60,206631723,8374.00
22-Oct-2009,5063.60,5063.35,5064.25,4968.45,4988.60,219560144,8830.32
23-Oct-2009,4988.60,4986.55,5054.95,4983.25,4997.05,223335499,9106.05
26-Oct-2009,4997.05,4997.15,5033.75,4961.35,4970.90,201756762,7658.71
27-Oct-2009,4970.90,4970.55,4970.55,4829.50,4846.70,324126841,11514.15
28-Oct-2009,4846.70,4846.55,4867.00,4784.10,4826.15,291607710,10325.07
29-Oct-2009,4826.15,4826.10,4826.10,4738.40,4750.55,354052799,12068.69
30-Oct-2009,4750.55,4751.10,4853.65,4687.50,4711.70,321182346,11459.69
03-Nov-2009,4711.70,4712.25,4729.85,4538.50,4563.90,319392344,10141.77
04-Nov-2009,4563.90,4567.30,4717.80,4565.00,4710.80,342877732,9466.04
05-Nov-2009,4710.80,4711.65,4776.35,4610.60,4765.55,337186106,9405.39
06-Nov-2009,4765.55,4767.50,4836.20,4764.85,4796.15,279503737,8883.60
09-Nov-2009,4796.15,4796.15,4905.25,4789.90,4898.40,242563827,8196.63
10-Nov-2009,4898.40,4898.90,4947.70,4860.10,4881.70,273281602,10543.75
11-Nov-2009,4881.70,4882.30,5016.70,4870.05,5003.95,251115661,8792.44
12-Nov-2009,5003.95,5004.40,5014.40,4924.75,4952.65,282046035,9208.49
13-Nov-2009,4952.65,4952.35,5017.90,4942.65,4998.95,217419912,7494.31
16-Nov-2009,4998.95,4996.50,5073.20,4994.00,5058.05,218547707,7043.04
17-Nov-2009,5058.05,5058.95,5074.00,5010.15,5062.25,211034152,7812.63
18-Nov-2009,5062.25,5061.50,5079.30,5041.65,5054.70,204346736,8091.52
19-Nov-2009,5054.70,5043.95,5053.45,4963.70,4989.00,286198276,7711.46
20-Nov-2009,4989.00,4988.75,5063.30,4932.80,5052.45,289285202,8643.31
23-Nov-2009,5052.45,5052.95,5113.10,5052.10,5103.55,193875423,7446.11
24-Nov-2009,5103.55,5105.00,5112.85,5053.50,5090.55,201324276,7621.19
25-Nov-2009,5090.55,5091.55,5138.00,5078.35,5108.15,185171466,7277.12
26-Nov-2009,5108.15,5116.45,5116.45,4986.05,5005.55,250067337,9534.57
27-Nov-2009,5005.55,5005.05,5005.05,4806.70,4941.75,304958891,9312.59
30-Nov-2009,4941.75,4942.25,5066.35,4942.25,5032.70,299569170,8574.32
01-Dec-2009,5032.70,5039.70,5130.35,5038.85,5122.00,301878674,8492.32
02-Dec-2009,5122.00,5122.75,5161.75,5111.75,5123.25,284763865,9308.75
03-Dec-2009,5123.25,5124.55,5181.00,5106.60,5131.70,225726200,7683.05
04-Dec-2009,5131.70,5131.70,5161.80,5081.85,5108.90,207469832,6960.55
07-Dec-2009,5108.90,5108.85,5131.30,5051.55,5066.70,213116933,6588.43
08-Dec-2009,5066.70,5068.55,5152.55,5058.90,5147.95,222744006,7547.17
09-Dec-2009,5147.95,5147.65,5147.65,5090.60,5112.00,240039269,7722.75
10-Dec-2009,5112.00,5112.40,5146.45,5084.65,5134.65,212775673,7096.21
11-Dec-2009,5134.65,5136.05,5182.55,5088.40,5117.30,207026470,7248.57
14-Dec-2009,5117.30,5117.45,5156.70,5090.15,5105.70,171684929,6543.06
15-Dec-2009,5105.70,5105.75,5129.45,5018.25,5033.05,198962362,7220.77
16-Dec-2009,5033.05,5032.95,5067.25,5001.80,5042.05,202112014,7124.61
17-Dec-2009,5042.05,5046.65,5064.20,5013.15,5041.75,219465268,7063.39
18-Dec-2009,5041.75,5042.00,5043.40,4979.05,4987.70,199329425,6833.57
21-Dec-2009,4987.70,4983.65,4997.85,4943.95,4952.60,168156865,6022.70
22-Dec-2009,4952.60,4953.35,4997.30,4953.35,4985.85,164377140,5249.29
23-Dec-2009,4985.85,4990.05,5150.60,4990.05,5144.60,250734148,7599.02
24-Dec-2009,5144.60,5144.80,5197.90,5129.05,5178.40,202176013,6459.65
29-Dec-2009,5178.40,5180.75,5214.60,5175.85,5187.95,160527908,5480.14
30-Dec-2009,5187.95,5188.75,5197.05,5160.10,5169.45,147546797,4922.14
31-Dec-2009,5169.45,5171.20,5221.85,5168.75,5201.05,188092940,7236.94
04-Jan-2010,5201.05,5200.90,5238.45,5167.10,5232.20,148652424,6531.61
05-Jan-2010,5232.20,5277.15,5288.35,5242.40,5277.90,240844424,7969.62
06-Jan-2010,5277.90,5278.15,5310.85,5260.05,5281.80,216147837,7892.60
07-Jan-2010,5281.80,5281.80,5302.55,5244.75,5263.10,181246734,6890.99
08-Jan-2010,5263.10,5264.25,5276.75,5234.70,5244.75,201910800,7777.04
11-Jan-2010,5244.75,5263.80,5287.20,5227.80,5249.40,238011959,11080.55
12-Jan-2010,5249.40,5251.10,5300.50,5200.95,5210.40,206748015,8648.49
13-Jan-2010,5210.40,5212.60,5239.20,5169.55,5233.95,200774550,8430.48
14-Jan-2010,5233.95,5234.50,5272.85,5232.50,5259.90,171282618,7824.43
15-Jan-2010,5259.90,5259.90,5279.85,5242.45,5252.20,167242355,6927.87
18-Jan-2010,5252.20,5253.65,5292.50,5228.95,5274.85,153687597,6659.87
19-Jan-2010,5274.85,5274.20,5287.80,5218.65,5225.65,141424524,6197.52
20-Jan-2010,5225.65,5226.10,5256.70,5201.40,5221.70,167867201,7170.51
21-Jan-2010,5221.70,5220.20,5220.35,5085.45,5094.15,190009431,7943.76
22-Jan-2010,5094.15,5094.15,5094.15,4954.85,5036.00,270251977,10414.08
25-Jan-2010,5036.00,5034.55,5035.70,4983.05,5007.90,166405391,5714.17
27-Jan-2010,5007.90,5008.50,5008.50,4833.05,4853.10,274773820,9800.33
28-Jan-2010,4853.10,4863.00,4929.90,4824.95,4867.25,275868897,10614.04
29-Jan-2010,4867.25,4866.15,4893.70,4766.00,4882.05,265191792,10116.63
01-Feb-2010,4882.05,4882.05,4918.80,4827.15,4899.70,226819473,7255.33
02-Feb-2010,4899.70,4907.85,4951.15,4814.10,4830.10,235090748,7927.05
03-Feb-2010,4830.10,4831.00,4949.15,4831.00,4931.85,163105434,6448.29
04-Feb-2010,4931.85,4931.30,4931.30,4832.35,4845.35,167815142,6169.35
05-Feb-2010,4845.35,4819.65,4827.00,4692.35,4718.65,222362365,7609.87
06-Feb-2010,4718.65,4712.75,4768.15,4712.75,4757.25,22091127,643.11
08-Feb-2010,4757.25,4755.35,4799.05,4675.40,4760.40,205364363,6823.11
09-Feb-2010,4760.40,4760.55,4810.40,4739.35,4792.65,175452494,5819.47
10-Feb-2010,4792.65,4793.00,4826.85,4748.10,4757.20,185053448,6196.72
11-Feb-2010,4757.20,4757.25,4843.80,4757.25,4826.85,142638466,4917.21
15-Feb-2010,4826.85,4827.90,4845.60,4783.90,4801.95,153758927,5004.68
16-Feb-2010,4801.95,4801.80,4880.00,4791.35,4855.75,156011235,5240.97
17-Feb-2010,4855.75,4858.65,4929.70,4857.60,4914.00,176502266,6291.08
18-Feb-2010,4914.00,4915.10,4922.05,4873.70,4887.75,193513235,5763.98
19-Feb-2010,4887.75,4887.30,4887.30,4805.55,4844.90,194311305,5737.99
22-Feb-2010,4844.90,4849.35,4912.05,4845.90,4856.40,149362400,4591.60
23-Feb-2010,4856.40,4856.60,4884.10,4833.15,4870.05,129233916,4617.62
24-Feb-2010,4870.05,4869.55,4880.55,4834.65,4858.60,141213476,4842.23
25-Feb-2010,4858.60,4859.00,4880.15,4835.60,4859.75,179443119,6427.68
26-Feb-2010,4859.75,4858.50,4992.00,4858.45,4922.30,341137163,10987.94
02-Mar-2010,4922.30,4935.60,5029.45,4935.35,5017.00,233127111,8468.18
03-Mar-2010,5017.00,5015.80,5093.25,5015.10,5088.10,191791765,7375.98
04-Mar-2010,5088.10,5096.95,5096.95,5049.00,5080.25,205104948,6826.25
05-Mar-2010,5080.25,5080.55,5118.65,5068.05,5088.70,209604746,6307.80
08-Mar-2010,5088.70,5092.15,5147.10,5092.15,5124.00,187964711,7130.87
09-Mar-2010,5124.00,5121.05,5131.80,5094.35,5101.50,158734706,6364.07
10-Mar-2010,5101.50,5101.60,5137.40,5092.05,5116.25,167174523,6445.89
11-Mar-2010,5116.25,5116.35,5152.60,5102.10,5133.40,155698046,5500.07
12-Mar-2010,5133.40,5131.80,5158.10,5122.10,5137.00,152561763,5927.11
15-Mar-2010,5137.00,5134.45,5151.05,5101.20,5128.90,134878673,5301.12
16-Mar-2010,5128.90,5128.95,5209.25,5125.70,5198.10,120692486,5250.18
17-Mar-2010,5198.10,5198.45,5260.50,5177.15,5231.90,169767105,6291.05
18-Mar-2010,5231.90,5232.55,5255.65,5214.40,5245.90,160336720,5521.68
19-Mar-2010,5245.90,5246.80,5269.95,5237.10,5262.80,136871848,5558.70
22-Mar-2010,5262.80,5260.95,5260.95,5187.05,5205.20,130039411,5212.14
23-Mar-2010,5205.20,5205.85,5243.60,5193.40,5225.30,146479804,5673.78
25-Mar-2010,5225.30,5225.30,5267.30,5202.95,5260.40,207844844,9239.93
26-Mar-2010,5260.40,5260.55,5293.75,5260.55,5282.00,140965576,6366.38
29-Mar-2010,5282.00,5283.90,5329.55,5242.15,5302.85,132186441,6001.64
30-Mar-2010,5302.85,5302.95,5325.00,5251.35,5262.45,133483766,5629.19
31-Mar-2010,5262.45,5260.40,5293.90,5235.15,5249.10,147618695,6542.18
01-Apr-2010,5249.10,5249.20,5298.60,5249.20,5290.50,127773261,5365.11
05-Apr-2010,5290.50,5291.40,5377.55,5291.40,5368.40,132419861,5762.97
06-Apr-2010,5368.40,5369.65,5388.65,5351.70,5366.00,147051901,5746.95
07-Apr-2010,5366.00,5365.70,5399.65,5345.05,5374.65,166790249,6530.95
08-Apr-2010,5374.65,5376.30,5383.65,5290.25,5304.45,156785881,5830.63
09-Apr-2010,5304.45,5302.40,5377.45,5302.25,5361.75,154497751,6207.69
12-Apr-2010,5361.75,5354.15,5382.15,5324.90,5339.70,134901999,5502.80
13-Apr-2010,5339.70,5340.85,5356.50,5301.70,5322.95,126581805,7839.07
15-Apr-2010,5322.95,5323.30,5373.15,5265.30,5273.60,195013233,7702.54
16-Apr-2010,5273.60,5273.40,5283.05,5237.55,5262.60,151013525,5498.97
19-Apr-2010,5262.60,5279.05,5279.05,5160.90,5203.65,155321410,5791.22
20-Apr-2010,5203.65,5208.30,5257.25,5208.30,5230.10,199478130,7155.88
21-Apr-2010,5230.10,5230.30,5266.30,5230.30,5244.90,196901598,6577.43
22-Apr-2010,5244.90,5248.60,5331.80,5221.10,5269.35,180286076,8794.67
23-Apr-2010,5269.35,5269.65,5311.05,5269.65,5304.10,154120422,6935.25
26-Apr-2010,5304.10,5299.35,5342.35,5299.35,5322.45,127022478,5920.48
27-Apr-2010,5322.45,5322.10,5330.55,5301.40,5308.35,144428508,5684.75
28-Apr-2010,5308.35,5308.20,5308.25,5202.45,5215.45,178645117,6812.97
29-Apr-2010,5215.45,5215.25,5264.75,5214.80,5254.15,171683419,7264.42
30-Apr-2010,5254.15,5254.20,5294.80,5254.20,5278.00,152495257,6591.23
03-May-2010,5278.00,5278.40,5278.70,5210.05,5222.75,111445668,4663.49
04-May-2010,5222.75,5223.90,5250.15,5134.85,5148.50,145539730,5782.23
05-May-2010,5148.50,5148.35,5148.35,5056.50,5124.90,207679138,7373.72
06-May-2010,5124.90,5124.40,5124.90,5037.75,5090.85,192105707,6560.70
07-May-2010,5090.85,5072.30,5085.65,4984.60,5018.05,233345722,8765.29
10-May-2010,5018.05,5026.60,5203.30,5026.60,5193.60,191632764,7272.87
11-May-2010,5193.60,5189.75,5206.70,5126.50,5136.15,168751932,6431.69
12-May-2010,5136.15,5133.75,5172.85,5098.80,5156.65,187111358,6559.76
13-May-2010,5156.65,5157.55,5212.70,5147.95,5178.90,179378582,6054.24
14-May-2010,5178.90,5180.55,5192.75,5070.95,5093.50,144381001,6094.56
17-May-2010,5093.50,5093.90,5094.55,4966.25,5059.90,169306794,7203.31
18-May-2010,5059.90,5059.55,5105.20,5024.25,5066.20,137027239,6336.36
19-May-2010,5066.20,5065.10,5065.10,4908.15,4919.65,212950386,8688.71
20-May-2010,4919.65,4924.30,4980.25,4924.30,4947.60,197303335,7215.28
21-May-2010,4947.60,4946.70,4946.70,4842.30,4931.15,230483809,7363.95
24-May-2010,4931.15,4944.30,5029.55,4923.45,4943.95,184424844,6576.57
25-May-2010,4943.95,4945.30,4946.60,4786.45,4806.75,198187219,6759.02
26-May-2010,4806.75,4807.30,4925.45,4807.30,4917.40,221985114,7246.83
27-May-2010,4917.40,4915.15,5016.60,4897.60,5003.10,238270068,9374.65
28-May-2010,5003.10,5005.60,5077.25,5005.60,5066.55,187947940,6703.72
31-May-2010,5066.55,5076.10,5097.60,5038.55,5086.30,179398969,5600.69
01-Jun-2010,5086.30,5086.25,5086.95,4961.05,4970.20,183016039,6170.85
02-Jun-2010,4970.20,4970.75,5031.20,4967.05,5019.85,217930824,6768.12
03-Jun-2010,5019.85,5020.15,5125.70,5020.15,5110.50,174606394,5784.75
04-Jun-2010,5110.50,5112.60,5147.90,5091.60,5135.50,174561315,5755.15
07-Jun-2010,5135.50,5132.95,5132.95,5004.25,5034.00,175607171,5958.49
08-Jun-2010,5034.00,5036.70,5071.35,4967.30,4987.10,180656558,6149.81
09-Jun-2010,4987.10,4985.05,5050.60,4980.10,5000.30,199912934,6619.08
10-Jun-2010,5000.30,4999.60,5085.20,4997.60,5078.60,176853398,6038.85
11-Jun-2010,5078.60,5078.75,5139.05,5078.75,5119.35,198342050,7105.68
14-Jun-2010,5119.35,5120.15,5201.25,5120.15,5197.70,158831199,5616.24
15-Jun-2010,5197.70,5201.30,5231.45,5171.05,5222.35,218930465,6642.21
16-Jun-2010,5222.35,5225.05,5255.65,5214.90,5233.35,203727420,7283.62
17-Jun-2010,5233.35,5233.65,5285.55,5206.55,5274.85,189953720,7662.74
18-Jun-2010,5274.85,5274.95,5302.30,5245.50,5262.60,205198165,7934.71
21-Jun-2010,5262.60,5266.50,5366.75,5266.50,5353.30,186200103,6565.17
22-Jun-2010,5353.30,5353.95,5354.35,5311.05,5316.55,162043358,5453.37
23-Jun-2010,5316.55,5316.15,5333.30,5288.15,5323.15,150160458,5457.95
24-Jun-2010,5323.15,5323.25,5348.30,5284.55,5320.60,218787111,8902.73
25-Jun-2010,5320.60,5320.50,5320.50,5259.90,5269.05,164967805,6750.84
28-Jun-2010,5269.05,5271.10,5339.45,5270.75,5333.50,154140414,6284.06
29-Jun-2010,5333.50,5333.55,5334.15,5235.80,5256.15,158720263,5859.41
30-Jun-2010,5256.15,5254.25,5320.35,5210.00,5312.50,183722824,7083.92
01-Jul-2010,5312.50,5312.05,5312.55,5232.10,5251.40,141430947,5489.08
02-Jul-2010,5251.40,5251.25,5277.25,5225.60,5237.10,149979351,5158.26
05-Jul-2010,5237.10,5237.00,5252.75,5225.85,5235.90,100621413,3333.36
06-Jul-2010,5235.90,5236.10,5297.45,5231.50,5289.05,115506191,4290.40
07-Jul-2010,5289.05,5293.10,5296.75,5233.45,5241.10,132390232,4490.16
08-Jul-2010,5241.10,5242.00,5320.50,5242.00,5296.85,127297125,4878.49
09-Jul-2010,5296.85,5297.20,5359.05,5297.20,5352.45,216660647,6889.10
12-Jul-2010,5352.45,5352.25,5402.70,5351.60,5383.00,189500080,6566.28
13-Jul-2010,5383.00,5370.20,5406.20,5357.85,5400.65,226045986,7302.68
14-Jul-2010,5400.65,5402.00,5453.45,5371.70,5386.15,211034896,7700.69
15-Jul-2010,5386.15,5387.10,5399.20,5360.60,5378.75,155118828,6035.97
16-Jul-2010,5378.75,5376.65,5401.35,5374.40,5393.90,143220575,6261.44
19-Jul-2010,5393.90,5392.70,5409.10,5361.50,5386.45,116584791,4686.58
20-Jul-2010,5386.45,5387.00,5416.45,5353.60,5368.00,121626463,4136.60
21-Jul-2010,5368.00,5368.85,5409.10,5368.85,5399.35,122859037,4953.75
22-Jul-2010,5399.35,5399.15,5447.15,5372.20,5441.95,155995093,6239.12
23-Jul-2010,5441.95,5441.90,5477.50,5435.15,5449.10,165925947,6466.84
26-Jul-2010,5449.10,5446.55,5466.25,5409.20,5418.60,147330374,5545.74
27-Jul-2010,5418.60,5420.20,5450.95,5407.20,5430.60,155306187,7037.79
28-Jul-2010,5430.60,5436.10,5447.85,5386.25,5397.55,146938758,6793.67
29-Jul-2010,5397.55,5397.85,5415.85,5381.55,5408.90,162309098,7592.59
30-Jul-2010,5408.90,5408.40,5413.25,5349.20,5367.60,131797420,5934.09
02-Aug-2010,5367.60,5369.55,5438.85,5351.30,5431.65,104231289,5012.55
03-Aug-2010,5431.65,5432.50,5459.20,5426.40,5439.55,130727919,5577.95
04-Aug-2010,5439.55,5441.35,5481.90,5428.40,5467.85,120781454,5308.01
05-Aug-2010,5467.85,5470.15,5487.15,5443.10,5447.10,129638121,5375.93
06-Aug-2010,5447.10,5448.25,5471.90,5431.35,5439.25,116668077,4724.60
09-Aug-2010,5439.25,5439.80,5492.30,5433.25,5486.15,137005276,4943.58
10-Aug-2010,5486.15,5486.80,5491.45,5445.35,5460.70,164218108,6726.45
11-Aug-2010,5460.70,5460.70,5474.60,5412.00,5420.60,174632660,7684.14
12-Aug-2010,5420.60,5418.70,5431.10,5372.45,5416.45,172039387,7991.90
13-Aug-2010,5416.45,5420.65,5476.50,5415.50,5452.10,154913632,6503.15
16-Aug-2010,5452.10,5452.10,5465.25,5397.40,5418.30,189453492,6283.46
17-Aug-2010,5418.30,5422.15,5443.55,5408.80,5414.15,138282188,5458.34
18-Aug-2010,5414.15,5416.25,5487.95,5416.25,5479.15,154252402,6293.69
19-Aug-2010,5479.15,5478.25,5544.70,5478.10,5540.20,167740837,5669.59
20-Aug-2010,5540.20,5540.80,5546.60,5513.35,5530.65,144072389,5301.98
23-Aug-2010,5530.65,5531.15,5549.80,5519.40,5543.50,118735153,5263.58
24-Aug-2010,5543.50,5541.10,5547.25,5488.45,5505.10,139147479,5551.14
25-Aug-2010,5505.10,5505.30,5506.15,5452.55,5462.35,157764424,5517.95
26-Aug-2010,5462.35,5462.10,5486.55,5454.70,5477.90,186378293,7554.18
27-Aug-2010,5477.90,5489.60,5495.20,5391.95,5408.70,142325823,5450.83
30-Aug-2010,5408.70,5408.90,5469.00,5390.35,5415.45,113842559,4230.08
31-Aug-2010,5415.45,5413.55,5413.90,5348.90,5402.40,157131369,6686.31
01-Sep-2010,5402.40,5403.05,5478.60,5403.05,5471.85,144228489,5883.01
02-Sep-2010,5471.85,5471.90,5513.95,5471.85,5486.15,159665619,5066.31
03-Sep-2010,5486.15,5486.30,5510.40,5473.65,5479.40,146809469,4234.91
06-Sep-2010,5479.40,5479.55,5589.40,5479.55,5576.95,158938306,6388.26
07-Sep-2010,5576.95,5575.90,5625.50,5571.65,5604.00,177476993,6050.20
08-Sep-2010,5604.00,5604.25,5625.30,5567.75,5607.85,135333275,5689.78
09-Sep-2010,5607.85,5608.30,5647.45,5608.10,5640.05,138061072,6234.11
13-Sep-2010,5640.05,5639.20,5770.60,5639.20,5760.00,152799959,7515.79
14-Sep-2010,5760.00,5760.30,5838.45,5760.30,5795.55,188426968,8111.27
15-Sep-2010,5795.55,5795.25,5869.45,5792.20,5860.95,187206098,8805.82
16-Sep-2010,5860.95,5861.10,5901.65,5815.80,5828.70,192466127,7830.28
17-Sep-2010,5828.70,5828.70,5898.40,5828.70,5884.95,211380366,7874.33
20-Sep-2010,5884.95,5885.05,5989.50,5885.05,5980.45,193474676,7658.35
21-Sep-2010,5980.45,5980.50,6032.80,5961.85,6009.05,200950471,9035.72
22-Sep-2010,6009.05,6008.40,6037.40,5946.45,5991.00,170150328,8003.00
23-Sep-2010,5991.00,5991.05,6006.80,5932.40,5959.55,135577520,6114.32
24-Sep-2010,5959.55,5959.45,6029.10,5951.20,6018.30,176456881,7167.29
27-Sep-2010,6018.30,6018.30,6073.50,6018.30,6035.65,166773894,6621.37
28-Sep-2010,6035.65,6036.05,6049.80,5991.30,6029.50,170651346,6860.57
29-Sep-2010,6029.50,6029.15,6071.55,5979.65,5991.30,183154443,7028.59
30-Sep-2010,5991.30,5991.35,6048.45,5963.60,6029.95,217770233,9926.83
01-Oct-2010,6029.95,6030.30,6153.10,6030.30,6143.40,179173861,8626.97
04-Oct-2010,6143.40,6144.70,6222.10,6144.70,6159.45,184600423,7416.30
05-Oct-2010,6159.45,6159.45,6188.35,6118.05,6145.80,145235637,6398.72
06-Oct-2010,6145.80,6150.95,6223.40,6148.60,6186.45,152497661,6668.37
07-Oct-2010,6186.45,6186.85,6199.45,6107.50,6120.30,168880938,7191.88
08-Oct-2010,6120.30,6121.40,6148.60,6067.00,6103.45,134638713,6623.90
11-Oct-2010,6103.45,6105.95,6187.75,6105.95,6135.85,115776692,5662.74
12-Oct-2010,6135.85,6135.95,6144.95,6057.95,6090.90,109943866,5166.44
